,Organizations,About,Technology,Category,Topics,Count,Last Appeared
500,Nmap Security Scanner,Swiss Army knife of network discovery and security auditing,"c/c++, lua, python, c, c++",Security,"security, networking, ipv6, linux, network mapping",9,2017
501,NTP,,,,,1,2011
502,NTP Project,,,,,1,2009
503,NumFOCUS,NumFOCUS supports and promotes open source scientific software.,"python, javascript, c/c++, r, julia",Science and Medicine,"data science, graphics, scientific computing, numerical computation",7,2021
504,NV Access,Empowering lives through non-visual access to technology,"python,  c++,  ui automation,  iaccessible2,  win32 api",Other,"accessibility,  blindness,  screen reader,  braille,  text to speech",2,2020
505,OAR,,,,,2,2010
506,OGDF - Open Graph Drawing Framework,,,,,3,2014
507,OGRE,,,,,1,2009
508,OGRE (Object-Oriented Graphics Rendering Engine) ,,,,,2,2013
509,OGRE - Open Source 3D Graphics Engine,,,,,1,2011
510,omegaUp.com,omegaUp is aimed to increase the number of talented Software Engineers in LatAm.,"php, mysql,  python",Web,"cs education, education, web community",1,2018
511,OMII-UK,,,,,2,2010
512,OncoBlocks,,,,,1,2015
513,Open64,,,,,1,2009
514,OpenAFS,,,,,2,2010
515,openastronomy,Opening the eyes of research astronomy software to the whole world.,"python, javascript, julia, numba, spark",Science and Medicine,"astronomy, solar physics, high energy astrophysics, astrophysics",6,2021
516,Open Bioinformatics Foundation,Promoting practice & philosophy of OSS & Open Science in biological research.,"c, python, javascript, react, c++",Science and Medicine,"genomics, bioinformatics, workflows",9,2021
517,Open Bioinformatics Foundation (OBF),Promoting practice & philosophy of OSS & Open Science in biological research.,"python,  javascript, c/c++",Science and Medicine,"bioinformatics, computational biology",1,2020
518,Opencast Matterhorn ,,,,,1,2012
519,OpenCensus,Planet Scale Tracing and Monitoring,"python, java, ruby, node, go",Cloud,"tracing, monitoring, c++, php",1,2018
520,OpenChange (a project of the Free Software Conservancy),,,,,1,2009
521,Open Chemistry,Advancing Open Source and Open Science for Chemistry,"python, javascript, opengl, c++14, c++17",Science and Medicine,"data science, graphics, scientific visualization, quantum chemistry",6,2021
522,OpenCog Foundation,,,,,1,2012
523,OpenCog sponsored by the Singularity Institute for Artificial Intelligence,,,,,1,2009
524,OpenCV,Open Source Computer Vision and Deep Learning Library,"javascript, opengl, c++, cuda, python 3",Graphics / Video / Audio / Virtual Reality,"robotics, computer vision",5,2021
525,"OPeNDAP, Inc.",,,,,1,2010
526,Open Data Kit,Open Data Kit is used to collect data for social good in difficult environments.,"android,  java",End User Applications,"mobile,  global development,  global health,  social good",3,2019
527,Open Detection,Open Detection is a open source project for object detection and recognition.,"c++, caffe, pcl, opencv",Other,"computer vision, ai",2,2017
528,Open Education Resource Foundation,,,,,1,2014
529,OpenEMR,OpenEMR is a leader in healthcare open-source software,"php, mysql,  javascript, docker,  html",Science and Medicine,"medical records, health, cloud, medicine, medical practice management solution",1,2020
530,Open Ephys,Open-source electrophysiology,"c++, juce",Science and Medicine,"neuroscience, electrophysiology, visualization, ui, signal processing",1,2016
531,OpenFlowHub,,,,,1,2012
532,Open Food Facts,"A collaborative, free and open database of food and cosmetic products.","perl, mongodb, ios, android, machine learning",Science and Medicine,"computer vision, crowdsourcing, open data, food, health",1,2018
533,Open Genome Informatics,Association of open access genomics and bioinformatics projects.,"python, mysql, javascript, neo4j, react",Science and Medicine,"genomics, bioinformatics, computational biology, biology, data and databases",4,2021
534,OpenHMD,Multi-Platform Open Source driver for AR/VR/XR devices with stable ABI.,"c99, opengl, vulkan, opencv, libusb",Graphics / Video / Audio / Virtual Reality,"virtual reality, xr, drivers, reverse engineering, computer vision",1,2020
535,OpenICC,,,,,3,2012
536,OpenICC Color Management,,,,,1,2011
537,OpenImageIO,,,,,4,2012
538,OpenInkpot project,,,,,1,2010
539,OpenIntents,,,,,2,2012
540,OpenKeychain (OpenPGP for Android),OpenKeychain: Easy PGP for Android,"android, openpgp",Security,"security, e-mail, encryption",3,2016
541,Open Lighting Project,,,,,3,2014
542,OpenMined,Lowering the barrier of entry to privacy preserving technology,"python, javascript, rust, pytorch, hyperledger aries",Programming Languages and Development Tools,"privacy, encrypted computation, federated learning, structured transparency, differential privacy",2,2021
543,Open Motion Planning Library,,,,,1,2014
544,OpenMRS,Write code. Save lives.,"mysql, javascript, android, java, spring",Science and Medicine,"science and medicine, open source, electronic medical records",13,2021
545,OpenNebula,,,,,1,2010
546,Open Networking Lab,,,,,1,2013
547,OpenNMS,,,,,3,2013
548,OpenRefine,"a free, open source power tool for working with messy data and improving it"," java,  javascript",Data and Databases,"real-time, data visualization,  data integration, web application",1,2020
549,Open Roberta,Open RobertaÂ® Lab is an online IDE introducing kids to program robots with NEPOÂ®,"python, java, go, c++, typescript",Programming Languages and Development Tools,"education, robotics, visual programming",3,2021
550,Open Roberta Lab,Open RobertaÂ® Lab is an online IDE introducing kids to program robots with NEPOÂ®,"java, javascript",Web,"education, programming, robotics",1,2018
551,Open Robotics,"Open source software for use in robotics research, education and industry","python, c/c++, ros, gazebo, ignition",Programming Languages and Development Tools,robotics,1,2021
552,OpenSIPS,"A multi-purpose Open Source SIP proxy/server for carriers, telecoms or ITSPs","c,  python, mysql, scripting",Social / Communications,"voip, telephony, real-time-communications, sip",1,2018
553,Open Source Computer Vision Library,,,,,1,2010
554,Open Source Computer Vision Library (OpenCV),,,,,5,2015
555,Open Source Robotics Foundation,"Open source software for use in robotics research, education and industry","ros, gazebo, c++, python",Programming Languages and Development Tools,robotics,7,2020
556,OpenSSH,,,,,1,2009
557,Open States,Open Source State Legislative Data,"python, django, react, graphql, postgresql",Other,"civic tech, scraping, web, government",2,2018
558,OpenStreetMap,Creating and distributing free geographic data for the world.,"python, postgresql, javascript, java, ruby",Other,"open data, gis, maps, crowdsourcing",11,2021
559,openSUSE,"The makers' choice for sysadmins, developers and desktop users.","ruby on rail, perl,  ruby, html/javascript, c/c++",Operating Systems," web, qa, packaging,  ui/ux",6,2018
560,openSUSE Project,"Our community creates, promotes, improves and documents open-source software.","python, linux, rust, kubernetes, artificial intelligence",Operating Systems,"operating systems, software quality, developer tools, devops, containers",4,2021
561,Open Technologies Aliance - GFOSS,Promote Openness through use and development of Open Standards and Open Source,"python,  javascript, gtk, qt, arduino",Programming Languages and Development Tools,"robotics, programming languages, open education, c- c+, java",1,2019
562,Open Technologies Alliance - GFOSS,Promote Openness through use and development of Open Standards and Technologies," php,  java,  mysql,  virtuoso, python",Other,"data, cloud, hardware",1,2017
563,Openwall,,,,,3,2015
564,Openwall Project,,,,,1,2011
565,OpenWISP,A Hackable Network Management System for the 21st Century,"python, javascript, django, lua, openwrt",Web,"iot, network management system, wifi, mesh, hotspot",5,2021
566,OpnTec,Developing Open Event Solutions for Everyone,"python, javascript, emberjs, cloud, android",Social / Communications,"open event, event solutions, web",1,2018
567,Oppia Foundation,"A free, online learning platform for making quality education accessible to all","python, kotlin, css, angular, typescript",Web,"education, web, community, interactive, nonprofit",6,2021
568,Opticks,,,,,1,2010
569,Orange â€“ Data Mining Fruitful & Fun,"A cross-platform, visual-programming tool for data mining and visualization.","python, cython, qt, machine learning",Science and Medicine,"machine learning, visualization, data mining, bioinformatics, gui toolkit",3,2016
570,Orcasound,Open-source code to accelerate orca conservation & bioacoustic research,"python, javascript, react, raspberry pi, elixir",Science and Medicine,"machine learning, real-time, citizen science, scientific visualization, audio analysis",2,2021
571,Oregon State University Open Source Lab,,,,,2,2010
572,Oregon State University Open Source Lab (OSUOSL),,,,,5,2015
573,OSGeo,The Open Source Geospatial Foundation,"c/c++,  python, sql, open source databases,  java",Other,"gis, geolocation,  mapping,  open science, citizen science",4,2020
574,OSGeo - Open Source Geospatial Foundation,The Open Source Geospatial Foundation,"python, javascript, c/c++, java, sql",Other,"databases, open science, routing, gis, citizen science",8,2021
575,OSGeo - The Open Source Geospatial Foundation,The Open Source Geospatial Foundation,"python, sql, c, ogc standards, c++",,"gis, science, maps, cartography, geospatial",1,2016
576,OSU Open Source Lab,OSU Open Source Lab,"python, rest, javascript, ruby",,"virtualization, infrastructure",1,2016
577,OSv,,,,,1,2014
578,oVirt,Open virtual datacenter management for all,"java,  python, kvm",End User Applications,"virtualization, enterprise application",2,2017
579,OW2,The open source community for infrastructure software.,"java, perl, middleware, bpm, wiki",Other,"enterprise information systems, cloud, security, middleware",1,2018
580,OWASP,,,,,1,2013
581,OWASP Foundation,OWASPÂ® is a nonprofit foundation that improves the security of software,"python, javascript, c/c++, golang",Security,"application security, cybersecurity, top 10, pentesting",7,2021
582,ownCloud,A safe home for all your data,"php, qt,  android, ios, javascript",Cloud,"cloud, sync, file share",2,2017
583,P2PSP.org,Shaping the future Internet TV,"python,  javascript, webrtc, sockets, c/c++",Graphics / Video / Audio / Virtual Reality,"live streaming, real time, distributed networks, p2p, video",4,2018
584,PacketFence,,,,,1,2012
585,PaGMO / PyGMO,,,,,1,2013
586,PaGMO / PyKEP,,,,,1,2015
587,Pardus,,,,,2,2010
588,Parrot Foundation,,,,,3,2013
589,PEcAn Project,Develop accessible tools for reproducible ecosystem modeling and forecasting,"postgresql, r, docker, kubernetes, api",Science and Medicine,"data science, ecosystem models, scientific visualization, ecological forecasting, climate science",5,2021
590,Pencil Code Foundation,,,,,1,2015
591,Peragro,Digital Assets Managed Neatly,"python, blender, javascript, celery, django",,"analyzing, transcoding, pipeline automation, games, web",1,2016
592,Percona,Unbiased open source database experts.," javascript, shell script, golang, prometheus, grafana",Data and Databases,"data visualization, automation, load testing, alerts, testing",2,2020
593,Performance Co-Pilot,System-level performance analysis toolkit,"c, redis, grafana, rest, libuv",Operating Systems,"performance, analysis, distributed, timeseries, lightweight",5,2020
594,Pharo Consortium,The immersive programming experience,"smalltalk, roassal, pharo, spec",Programming Languages and Development Tools,"compilers, visualization, programming languages, ide, virtual machines",3,2021
595,PHP,,,,,1,2009
596,phpBB Forum Software,phpBB is the most widely used free and open-source forum solution.,"mysql,  javascript, html5/css3, php, symfony",Social / Communications,"social, communication, collaboration, forum, community",5,2018
597,phpMyAdmin,A web interface for MySQL written in PHP,"php, mysql, bootstrap, javascript, cakephp",Data and Databases,"mysql, developer, administrator, database, web applications",9,2019
598,Physical Web Project,Physical Web GSoC project based on the Physical Web,"beacon, web bluetooth, physical web, bluetooth",Other,"internet of things, beacons",2,2017
599,"Pidgin, Finch, and libpurple",,,,,3,2015
600,"Pidgin, Finch and libpurple",,,,,2,2010
601,Pidgin Instant Messenger,A universal chat client.,"c, gtk, gstreamer",Social / Communications,"web, real time, video, chat, voice",1,2021
602,Pitivi,Allowing everyone on the planet to express themselves through filmmaking,"c, python, gtk, gstreamer",Graphics / Video / Audio / Virtual Reality,"video processing, filmmaking, video editing",3,2021
603,PiTiVi video editor,,,,,1,2013
604,PKIF project,,,,,1,2009
605,Plan 9 Foundation,Lightweight distributed computing,"c, golang, distributed systems, concurrency",Operating Systems,"operating systems, distributed systems, network programming",1,2021
606,Plan 9 from Bell Labs,,,,,5,2014
607,PLASMA-UMass,"PLASMA explores ways to make programming languages faster, safer, and easier.","javascript, c/c++, scala, go",Programming Languages and Development Tools,"programming languages, programming tools, software engineering, operating systems, runtime systems",1,2016
608,PLASMA @ UMass,,,,,2,2015
609,Plone,The premier python-based open source CMS,"python,  javascript, html, css, reactjs",Web,"communications, collaboration, content management, web",1,2018
610,Plone Foundation,The premier python-based open source CMS,"python,  javascript, html/css",Web," content management, cms",7,2017
611,PLSE at UW,,,,,1,2010
612,PMD,An extensible cross-language static code analyzer.,"java, xml, javacc, antlr, xpath",Programming Languages and Development Tools,"code analysis, code quality, source code analyzer, linter",2,2018
613,Pocket Science Lab,Miniaturizing the Open Science Lab with Open Hardware and Open Source Software,"android, java, firmware, c, cad",Science and Medicine,"science, education, firmware, school apps",1,2018
614,Point Cloud Library,"Standalone, large scale, open project for 2D/3D image and point cloud processing","python, cuda, cmake, c++14, computer vision",Science and Medicine,"robotics, computer vision, data structures, 2d/3d graphics, gpu computing",2,2021
615,Point Cloud Library (PCL),,,,,3,2014
616,Polly Labs,Promoting Polyhedral Compilation,"c/c++, llvm, polly, isl, ppcg",Programming Languages and Development Tools,"compilers, polyhedral model",2,2018
617,Polypheny,The distributed and self-adaptive polystore,"javascript, java, sql, angular",Data and Databases,"databases, big data, ui, polystore, nosql",1,2021
618,Portable Native Client,,,,,1,2015
619,Portland State University,Individual and Academic Open Source,"open hardware, language-agnostic",Other,"new projects, academic projects, individual projects",9,2017
620,PostgreSQL,PostgreSQL is the world's most advanced open source database.,"c, python, perl, sql, julia",Data and Databases,"web, data, sql, relational database, postgresql",6,2021
621,PostgreSQL Global Development Group,,,,,1,2011
622,PostgreSQL Project,,,,,4,2015
623,Postman,The Collaboration Platform for API Development,"javascript, node.js, graphql, openapi, rest api",Programming Languages and Development Tools,"productivity, apis, programming languages and development tools, api management, software development",2,2021
624,Princeton Center for Information Technology Policy,,,,,1,2010
625,PRISM Model Checker,PRISM is a tool for formally verifying the correctness of probabilistic systems.,"java, c++",Science and Medicine,"science, verification, probabilistic models",3,2016
626,Privly Foundation,,,,,1,2015
627,Probot,Automate and improve GitHub workflows,"javascript, node, github",Programming Languages and Development Tools,"bot, automation, development tools",1,2018
628,Processing,,,,,3,2013
629,Processing Foundation,Our goal is to empower people of all backgrounds to learn how to program.,"python, android, java, opengl, javascr",Programming Languages and Development Tools,"education, web, graphics, creative coding, design",2,2021
630,Project PANOPTES,Discover New Worlds,"python 3, arduino, cloud",Science and Medicine,"astronomy, robotics, exoplanet, image processing",1,2019
631,Project Tox,,,,,1,2014
632,Project WikiLoop,Contribute to open knowledge at scale - heritage preservation and translation,"python, java, mediawiki",Other,"cultural heritage, knowledge graphs, computer-assisted translation",1,2021
633,"Ptolemy Project, University of California, Berkeley",,,,,1,2009
634,Public Lab,Open hardware and software to help communities measure and analyze pollution,"javascript, ruby on rails, node",Science and Medicine,"science, environment, community, diversity, diy",5,2021
635,Public Laboratory for Open Technology and Science,,,,,2,2014
636,PulseAudio,,,,,2,2013
637,Puppet (Reductive Labs),,,,,1,2010
638,Puppet Labs,,,,,1,2012
639,Purr Data,"A user-friendly visual programming environment for audio, video, and graphics.","c, javascript, c++, html, css",Graphics / Video / Audio / Virtual Reality,"web development, real-time, graphics / video / audio / virtual reality, visual programming",4,2021
640,Python HYDRA,Build better Web APIs. Enable smart clients.,"python, rdf, flask, hydra, json/json-ld",Web,"apis, database, functional-programming, semantic web, knowledge graph",1,2018
641,Python Software Foundation,Python is a programming language used by software developers and scientists.,python,Science and Medicine,"programming languages, science and medicine",13,2021
642,QEMU,Open source machine emulator and virtualizer,"c, python, linux, rust",Cloud,"compiler, lowlevel, emulator, hypervisor, code generation",8,2021
643,QEMU.org,,,,,2,2013
644,QEMU development team,,,,,1,2010
645,Quagga @ OpenSourceRouting / ISC,,,,,1,2013
646,Qubes OS,A reasonably secure operating system,"c, python, shell, ruby",Operating Systems,"virtualization, security, privacy",3,2021
647,Quill.org,Helping millions of learners become better writers and critical thinkers,"ruby, rails, react, javascript, postgresql",Web,"education, edtech, machine learning, nlp, web",1,2018
648,Radare,Radare2 - Reverse Engineering Framework and Toolset,"c, c++, python, go, qt",Security,"reverse engineering, disassembly, debugging, program analysis",3,2020
649,radare2,Radare2 reverse engineering framework and toolset,"c, rust, python, nodejs",Security,reverse engineering,1,2017
650,Raxa,,,,,3,2014
651,React Native Elements,Cross Platform React Native UI Toolkit,"javascript, react, react native",Programming Languages and Development Tools,"ui toolkit, design system",1,2021
652,ReactOS,Open your windows to freedom!,"c, c++, win32, nt",Operating Systems,"operating systems, applications, kernel, drivers, windows",7,2021
653,Read the Docs,Documentation Simplified,"python, django, documentation, sphinx",Programming Languages and Development Tools,"documentation, web",2,2019
654,Red Hen Lab,Research on Multimodal Communication,"python, big data science, computer vision, nlp, machinelearning",Science and Medicine,"metadata, media, language, multimodal communication, gesture",7,2021
655,Review Board,,,,,4,2012
656,R Foundation for Statistical Computing,,,,,1,2009
657,RIOT,,,,,1,2015
658,Rizin,Rizin reverse engineering framework and toolset,"c, python, c++, qt",Security,"reverse engineering, computer security, debugging",1,2021
659,RoboComp,An open-source framework to develop and manage robot components.,"python, opencv, qt5, c++17, pytorch",Other,"robotics, computer vision, multi-agent system, component-based development",8,2021
660,Rockbox,,,,,3,2011
661,Rocket.Chat,The ultimate open source team chat and federated communications platform,"react, nodejs, docker, kubernetes, react native",Social / Communications,"collaboration, community, instant messaging, communication, team",5,2021
662,RooStats,,,,,1,2012
663,RouteFlow,,,,,3,2015
664,R Project for Statistical Computing,R is a free software environment for statistical computing and graphics,"r-project, c, c++, fortran,  javascript",Programming Languages and Development Tools,"data science, data visualization, statistics, graphics, machine learning",11,2020
665,Rspamd,An advanced spam filtering system,"c, machine learning, javascript, lua",Security,"email, spam filtering, high performance computing",2,2018
666,Rspamd spam filtering system,,,,,1,2015
667,RTEMS Project,RTEMS is a real-time operating system kernel used around the world and in space.,"python, c/c++, assembly, posix, bsd unix",Operating Systems,"embedded systems, kernel, real-time, multicore, iot cps",13,2021
668,Ruby,Ruby is object-oriented programming language,ruby on rails,Programming Languages and Development Tools,"web development, type system, performance optimization",6,2021
669,Ruby on Rails,Ruby on Rails is web framework that optimizes for programmer happinness.,"ruby, ruby on rails, html",Web,"web, web development, web applications",6,2018
670,Ruby Science Foundation,Tools for scientific computation in Ruby,"ruby, c/c++, cuda, ai, machine learning",Science and Medicine,"scientific computing,  scientific visualization, data-science, hpc, linear algebra",6,2019
671,Ruby Science Foundation (SciRuby),,,,,1,2014
672,SageMath,open-source mathematics software system,"python, cython",Science and Medicine,"mathematics, education, research",3,2021
673,Sage Mathematical Software System,"Creating a viable free alternative to Magma, Maple, Mathematica and Matlab.","python 3, python, cython, c/c++",Science and Medicine,"mathematics, toolbox",7,2018
674,Sahana,,,,,1,2009
675,Sahana Software Foundation,,,,,5,2014
676,Sakai Foundation,,,,,2,2010
677,Sakai Project,,,,,2,2012
678,Salesforce,"From the kernel to the browser, open source projects from Salesforce.","scala,  apache spark, javascript,  nodejs, react",Cloud,"machine learning, natural language processing,  web applications, user interface, cli",1,2019
679,Samba,Opening windows to a wider world,"c, smb, cifs",Other,"networking, enterprise",10,2021
680,Saros,,,,,1,2015
681,Scaffold Hunter,,,,,2,2014
682,Scala,The programming language where object-oriented meets functional.,"scala, jvm, llvm",Programming Languages and Development Tools,"compilers, programming-tools, functional-programming, programming-language",3,2018
683,Scala Center,"For open source, for education","#scala, #scala_lang, #jvm, #llvm, #js",Programming Languages and Development Tools,"#compilers, #programming-tools, #functional-programming, #programming-languages, #education",1,2021
684,Scala Team,,,,,4,2015
685,Scilab,Cross-platform numerical computational package and programming language.,"c, c++, java, scilab",End User Applications,"science, mathematics, numerical computation, graphics",4,2018
686,Scilab/Digiteo Foundation,,,,,1,2009
687,Scilab Consortium/Digiteo Foundation,,,,,1,2010
688,Scilab Enterprises,Numerical computation IDE for engineering and scientific applications,"scilab, c++, java, c, fortran",Science and Medicine,"engineering, mechanics, vision, graphics, user interface",2,2016
689,SCons next-generation build system,,,,,1,2009
690,SCoRe Lab,"SCoRe has conducted research covering various aspects of Security, Mobile & IOT.","python, android, nodejs, golang",End User Applications,"machine learning, web development, cloud, information security, mobile",2,2021
691,SCoRe Lab (Sustainable Computing Research Lab),"SCoRe has conducted research covering various aspects of Security, Mobile & IOT.","python, nodejs, android, golang",Security,"information security, mobile, cloud, web development, machine learning",1,2019
692,Scribus,,,,,1,2012
693,Scribus Team,,,,,2,2011
694,ScummVM,ScummVM is an Adventure and Role-Playing game preservation project,"opengl, lua, c++, assembly, sdl",End User Applications,"games, game engines, software preservation, software archeology",12,2021
695,Seastar,Framework for writing high-performance server applications on modern hardware,"cpp, framework, dpdk, tcp, linux",Programming Languages and Development Tools,"high performance, tcp, app development, network, framework",1,2018
696,Selenium,,,,,2,2011
697,Sencha Labs,,,,,1,2011
698,SETI Institute,,,,,1,2011
699,Shaka Player,An open-source JavaScript library to play adaptive media.,"python, javascript, web development, video codecs, ui/ux",Graphics / Video / Audio / Virtual Reality,"web, streaming, video",1,2021
700,SharpDevelop,,,,,2,2010
701,Shogun,Unified and efficient Machine Learning," python, c++, data science, machine learning, matlab",Science and Medicine,"machine learning,  scientific computing,  software engineering,  user experience,  data science",1,2020
702,shogun.ml,Unified and efficient Machine Learning,"c++11, c++17,  python, swig, cmake",Science and Medicine,"machine learning, scientific computing, software engineering, user experience, data science",1,2019
703,Shogun Machine Learning Toolbox,Unified and efficient Machine Learning,"c/c++, python, swig, machine learning, cmake",Science and Medicine,"machine learning,  statistics,  fast algorithms,  bioinformatics,  software engineering",5,2017
704,Shogun Machine Learning Toolbox (Technical University Berlin / Max Planck Campus TÃ¼bingen),,,,,1,2011
705,Sigmah,Java/GWT platform for humanitarian project management,"gwt, java, postgresql",End User Applications,"humanitarian, project-management",5,2017
706,SilverStripe,,,,,1,2012
707,SimpleCV,,,,,2,2013
708,Simple DirectMedia Layer,,,,,4,2013
709,SIP Communicator,,,,,2,2010
710,Software and Computational Systems Lab at LMU Munich,"Software Analysis, Software Verification, and Benchmarking","python, java, javascript",Programming Languages and Development Tools,"software analysis, benchmarking, result presentation, smt solver, software verification",2,2019
711,"Software Freedom Conservancy, Inc.",,,,,1,2014
712,Software Heritage,The Great Library of Source Code,"python, postgresql, django, git, elasticsearch",Data and Databases,"big data, digital preservation, source code management, floss, big code",2,2021
713,Software Product Data Exchange (SPDX),Promoting open source compliance through standard communication of SW licenses.,"rdf, python, java,  github, c",Programming Languages and Development Tools,"compliance, opensource, licensing",1,2017
714,Soletta Project,Soletta Project is an open source framework for making IoT applications,"c, python, javascript, networking, machine learning",Programming Languages and Development Tools,"internet of things, portable, robotics, drones, makers",1,2016
715,Space @ Virginia Tech,Space@VT is devoted to the investigation of the space environment.,"python, javascript, d3, mysql, mongodb",Science and Medicine,"real time, web, data visualization, data analytics",1,2018
716,SPDX,SPDX develops and promotes open standards for communicating software information,"python, java, json, golang, rdf",Security,"security, compliance, licensing, standards",3,2021
717,SPDX (Software Product Data Exchange),Promoting open source compliance through standard communication of SW licenses.," python,  java, golang, xml",Programming Languages and Development Tools,"open source, compliance, licensing",1,2019
718,Statistics Online Computational Resource,,,,,1,2012
719,StatusNet,,,,,2,2011
720,Steel Bank Common Lisp,,,,,2,2014
721,Stellarium,,,,,1,2012
722,Stemformatics,Stemformatics is a web-based pocket dictionary for stem cell scientists.,"python, javascript, postgresql",Science and Medicine,"web applications, cloud, bioinformatics",1,2018
723,STE||AR Group,Shaping a Scalable Future,"python, c++, boost",Programming Languages and Development Tools,"machine learning, concurrency, high-performance computing, runtime systems, parallelism",4,2021
724,"Stony Brook University, Biomedical Informatics",Advance biomedical knowledge through innovative data science research,"big data, apache spark, matlab, c++, hadoop",Science and Medicine,"biomedical informatics, medical imaging, bioinformtics, big data, database",1,2017
725,Stony Brook University Biomedical Informatics,Advance biomedical knowledge through innovative data science research,"python, matlab, c++, javascript",Science and Medicine,"biomedical data science, cancer informatics, deep learning, medical imaging",2,2018
726,strace,linux syscall tracer,"c, linux, shell script, make, git",Operating Systems,"debugging, tracing, diagnostic",8,2021
727,Stratosphere Project,,,,,1,2014
728,Streetmix,"Design, remix, and share your neighborhood street, all in your browser.","javascript, react, redux, postgresql, mongodb",End User Applications,"smart cities, web, civic tech",1,2018
729,Submitty,Programming assignment submission with automated grading and manual TA grading,"php, python, postgresql, c++, javascript",Other,"education, web, communication, visualization, privacy/security",3,2020
730,Subsurface,,,,,2,2015
731,Subversion,,,,,1,2009
732,Sugar Labs,"We build and maintain tools that learners use to explore, create, and reflect.","javascript, react, typescript, vue.js, python gtk",End User Applications,"education, collaboration, open source, learning, software",10,2021
733,Sugar Labs educational platform (a member of the SFC),,,,,1,2009
734,Sunlight Foundation,,,,,1,2009
735,Sunlight Labs,,,,,2,2011
736,SuperTuxKart,,,,,2,2014
737,Sustainable Computing Research Group (SCoRe),"SCoRe has conducted research covering various aspects of Security, Mobile & IOT.","android, java, go, node, pyth",Web,"iot, web, mobile, machine learning, security",4,2018
738,Swathanthra Malayalam Computing,,,,,2,2014
739,Swift,"Swift is a general-purpose, safe, and expressive programming language.","llvm, c++, swift",Programming Languages and Development Tools,"compilers, debugging, programming languages and development tools, package management, programming libraries",4,2021
740,SWIG,,,,,2,2012
741,SymbiFlow,A completely FOSS toolchain for FPGAs.,"python, c/c++, verilog, fpga",Programming Languages and Development Tools,"programming languages, development tools, open hardware",3,2021
742,SymPy,Symbolic mathematics in Python,python,Science and Medicine,"mathematics, physics, symbolic mathematics",10,2021
743,SyncDiff(erent),,,,,1,2014
744,Synfig,Open-source 2D animation software,"python, gtk, c++11, gtkmm",Graphics / Video / Audio / Virtual Reality,"animation, vector graphics, 2d animation",3,2021
745,syslog-ng,"syslog-ng is an enhanced log daemon, supporting a wide range of I/O methods","c, python, sql, elasticsearch, kafka",Other,"cloud, high performance data processing, data processing pipeline, reliable log transfer, logging",3,2021
746,Systers,,,,,1,2012
747,"Systers, an Anita Borg Institute community",Helping women find their potential in code.,"android, ios, python, java, javascript ",Other,"women in tech, games, peace corps, web, mobile",5,2017
748,Systers: Women in Computing,,,,,2,2010
749,Systers Community,Helping women find their potential in code. You are not alone.,"ios, android, python, ruby on rails, javascript",Other,"mobile applications,  web apps, community",1,2018
750,Tahoe-LAFS,,,,,1,2010
751,Tarantool,In-memory computing platform,"c, lua, sql",Data and Databases,"distributed systems, algorithms, high performance data processing, in-memory data grid",1,2021
752,TARDIS-SN,Exploring supernovae made easy,python,Science and Medicine,"astronomy, supernova, science",2,2020
753,TARDIS SN,Exploring supernovae made easy,"python, numba, numpy, jupyter, pandas",Science and Medicine,"visualization, big data, simulation, astrophysics",2,2021
754,Tcl/Tk Community,,,,,2,2011
755,Tcl Community Association,,,,,1,2009
756,TEAMMATES @ National University of Singapore,An online feedback management system for education," java, appengine, javascript",Web,"education, teaching, cloud, web applications",4,2018
757,TEAMMATES Project @ National University of Singapore,,,,,1,2014
758,TensorFlow,TensorFlow is an open-source machine learning framework for everyone.,"javascript, c/c++, python deep learning frameworks",Programming Languages and Development Tools,"machine learning, computer vision, natural language processing, deep learning, cloud computing",3,2021
759,The Apache Software Foundation,Providing open source software to the public free of charge,"c, java, c++, rust",Programming Languages and Development Tools,"big data, cloud, libraries",4,2021
760,The Apertium Project,A free/open-source rule-based machine translation platform,"c++, python, perl, xml, finite-state technologies",Social / Communications,"machine translation, computer-aided translation, morphological analysis, natural language processing, human language technologies",2,2016
761,The Aqsis Team,,,,,1,2009
762,The Asterisk Project,,,,,2,2010
763,The Battle for Wesnoth,,,,,1,2011
764,The Center for Connected Learning and Computer-Based Modeling,NetLogo: A language and IDE for programming and scientific simulations," javascript, scala",Programming Languages and Development Tools," education, simulation, research, programming languages",4,2019
765,The Centre for Computational Medicine,,,,,1,2013
766,The CGAL Project,C++ library of computational geometry and geometry processing,"c++, git, github",Science and Medicine,"computational geometry, geometry processing, mesh processing, triangulaton, arrangement",3,2017
767,The Codehaus,,,,,3,2011
768,The Concord Consortium,,,,,4,2015
769,The Eclipse Foundation,The Platform for Open Innovation and Collaboration,"java, jakarta,  javascript, openj9",Programming Languages and Development Tools,"ide, cloud, iot",9,2019
770,The Electronic Frontier Foundation/The Tor Project,,,,,1,2009
771,The ENIGMA Team,A free development environment geared towards game development.,"android, opengl, c++, qt5",Programming Languages and Development Tools,"graphics, game development, compiler, programming, game design",1,2021
772,The Enlightenment Project,,,,,1,2009
773,The Fedora Project,,,,,5,2015
774,The FreeBSD Project,,,,,2,2010
775,The Freenet Project,,,,,1,2009
776,The FreeType Project,FreeType font rendering library,"fonts, opentype, c, library",Graphics / Video / Audio / Virtual Reality,"fonts, opentype, rendering, graphics, truetype",1,2017
777,The Gambit Project,,,,,2,2012
778,The Globus Alliance,,,,,3,2011
